Category,Page Title,Page URL,Page URI,Regex Pattern
Broken Links,Broken Links,https://gastate.view.usg.edu/d2l/brokenLinks/2703385,/d2l/brokenLinks/2703385,^/d2l/brokenLinks/.*$
Checklists,Edit Checklist,https://gastate.view.usg.edu/d2l/lms/checklist/checklist.d2l?checklistId=428974&ou=2703385,/d2l/lms/checklist/checklist.d2l?checklistId=428974&ou=2703385,^/d2l/lms/checklist/.*$
Checklists,Checklists,https://gastate.view.usg.edu/d2l/lms/checklist/checklists.d2l?ou=2703385,/d2l/lms/checklist/checklists.d2l?ou=2703385,^/d2l/lms/checklist/.*$
Checklists,Delete Checklists,https://gastate.view.usg.edu/d2l/lms/checklist/delete.d2l?ou=2703385,/d2l/lms/checklist/delete.d2l?ou=2703385,^/d2l/lms/checklist/.*$
Checklists,New Checklist,https://gastate.view.usg.edu/d2l/lms/checklist/new.d2l?ou=2703385,/d2l/lms/checklist/new.d2l?ou=2703385,^/d2l/lms/checklist/.*$
Checklists,Reorder Checklists,https://gastate.view.usg.edu/d2l/lms/checklist/reorder.d2l?ou=2703385,/d2l/lms/checklist/reorder.d2l?ou=2703385,^/d2l/lms/checklist/.*$
Classlist,Enrollment Statistics,https://gastate.view.usg.edu/d2l/lms/classlist/admin/classlist_report.d2l?ou=2703385,/d2l/lms/classlist/admin/classlist_report.d2l?ou=2703385,^/d2l/lms/classlist/.*$
Classlist,Change Enrollments,https://gastate.view.usg.edu/d2l/lms/classlist/admin/edit_enrollment.d2l?userIds=1431332&ou=2703385,/d2l/lms/classlist/admin/edit_enrollment.d2l?userIds=1431332&ou=2703385,^/d2l/lms/classlist/.*$
Classlist,Add Existing Users,https://gastate.view.usg.edu/d2l/lms/classlist/admin/participants/participants_add_existing.d2l?ou=2703385,/d2l/lms/classlist/admin/participants/participants_add_existing.d2l?ou=2703385,^/d2l/lms/classlist/.*$
Classlist,Import Users from File,https://gastate.view.usg.edu/d2l/lms/classlist/admin/participants/participants_add_fromfile.d2l?ou=2703385,/d2l/lms/classlist/admin/participants/participants_add_fromfile.d2l?ou=2703385,^/d2l/lms/classlist/.*$
Classlist,Settings,https://gastate.view.usg.edu/d2l/lms/classlist/admin/tab_settings.d2l?ou=2703385,/d2l/lms/classlist/admin/tab_settings.d2l?ou=2703385,^/d2l/lms/classlist/.*$
Classlist,Classlist,https://gastate.view.usg.edu/d2l/lms/classlist/classlist.d2l?ou=2703385,/d2l/lms/classlist/classlist.d2l?ou=2703385,^/d2l/lms/classlist/.*$
Classlist,Classlist,https://gastate.view.usg.edu/d2l/lms/classlist/classlist.d2l?ou=2703385&tabid=70&d2l_isfromtab=1&d2l_change=0,/d2l/lms/classlist/classlist.d2l?ou=2703385&tabid=70&d2l_isfromtab=1&d2l_change=0,^/d2l/lms/classlist/.*$
Classlist,Classlist,https://gastate.view.usg.edu/d2l/lms/classlist/classlist.d2l?ou=2703385&tabid=71&d2l_isfromtab=1&d2l_change=1,/d2l/lms/classlist/classlist.d2l?ou=2703385&tabid=71&d2l_isfromtab=1&d2l_change=1,^/d2l/lms/classlist/.*$
Classlist,Email Classlist,https://gastate.view.usg.edu/d2l/lms/classlist/print_email.d2l?pageOption=email&ou=2703385,/d2l/lms/classlist/print_email.d2l?pageOption=email&ou=2703385,^/d2l/lms/classlist/.*$
Classlist,Print Classlist,https://gastate.view.usg.edu/d2l/lms/classlist/print_email.d2l?pageOption=print&ou=2703385,/d2l/lms/classlist/print_email.d2l?pageOption=print&ou=2703385,^/d2l/lms/classlist/.*$
Classlist,View User Profile,https://gastate.view.usg.edu/d2l/lp/profile/profile_view.d2l?ou=2703385&pid=eqs2hy7RlO,/d2l/lp/profile/profile_view.d2l?ou=2703385&pid=eqs2hy7RlO,^/d2l/lp/profile/profile_view\\.d2l.*$
Competencies,Competencies View,https://gastate.view.usg.edu/d2l/le/lo/2703385/outcomes-gradebook,/d2l/le/lo/2703385/outcomes-gradebook,^/d2l/le/lo/.*$
Competencies,Competencies View Settings,https://gastate.view.usg.edu/d2l/le/lo/2703385/outcomes-gradebook/settings,/d2l/le/lo/2703385/outcomes-gradebook/settings,^/d2l/le/lo/.*$
Competencies,Competencies Management,https://gastate.view.usg.edu/d2l/le/lo/2703385/outcomes-management,/d2l/le/lo/2703385/outcomes-management,^/d2l/le/lo/.*$
Content,Create a File,https://gastate.view.usg.edu/d2l/le/content/2703385/authorHtml/NewFile?parentModuleId=--------,/d2l/le/content/2703385/authorHtml/NewFile?parentModuleId=--------,^/d2l/le/content/[0-9]+/.*$
Content,Overview,https://gastate.view.usg.edu/d2l/le/content/2703385/Home,/d2l/le/content/2703385/Home,^/d2l/le/content/[0-9]+/.*$
Content,Content pages,https://gastate.view.usg.edu/d2l/le/content/2703385/viewContent/--------/View,/d2l/le/content/2703385/viewContent/--------/View,^/d2l/le/content/[0-9]+/.*$
Copy Components/Learning Object Repository,Import/Export/Copy Components,https://gastate.view.usg.edu/d2l/lms/importExport/import_export.d2l?ou=2703385,/d2l/lms/importExport/import_export.d2l?ou=2703385,^/d2l/lms/importExport/.*$
Copy Components/Learning Object Repository,Manage,https://gastate.view.usg.edu/d2l/lor/admin/lors_list.d2l?ou=2703385,/d2l/lor/admin/lors_list.d2l?ou=2703385,^/d2l/lor/.*$
Copy Components/Learning Object Repository,Publish New Learning Object,https://gastate.view.usg.edu/d2l/lor/publish/publish.d2l?returnPage=lor&ou=2703385,/d2l/lor/publish/publish.d2l?returnPage=lor&ou=2703385,^/d2l/lor/.*$
Copy Components/Learning Object Repository,Background Publishing,https://gastate.view.usg.edu/d2l/lor/publish/publish_status.d2l?ou=2703385,/d2l/lor/publish/publish_status.d2l?ou=2703385,^/d2l/lor/.*$
Copy Components/Learning Object Repository,Search Repository,https://gastate.view.usg.edu/d2l/lor/search/search.d2l?ou=2703385,/d2l/lor/search/search.d2l?ou=2703385,^/d2l/lor/.*$
Copy Components/Learning Object Repository,Search Results,https://gastate.view.usg.edu/d2l/lor/search/search_results.d2l?ou=2703385&lrepos=1001,/d2l/lor/search/search_results.d2l?ou=2703385&lrepos=1001,^/d2l/lor/.*$
Course Admin,Course Admin,https://gastate.view.usg.edu/d2l/lp/cmc/main.d2l?ou=2703385,/d2l/lp/cmc/main.d2l?ou=2703385,^/d2l/lp/cmc/.*$
"Course Design Accelerator, Instructional Design Wizard, and Course Builder",Instructional Design Wizard,https://gastate.view.usg.edu/d2l/lms/accelerator/idw/startWizard.d2l?ou=2703385,/d2l/lms/accelerator/idw/startWizard.d2l?ou=2703385,^/d2l/lms/accelerator/.*$
"Course Design Accelerator, Instructional Design Wizard, and Course Builder",Course Design Accelerator,https://gastate.view.usg.edu/d2l/lms/accelerator/main.d2l?ou=2703385,/d2l/lms/accelerator/main.d2l?ou=2703385,^/d2l/lms/accelerator/.*$
