Category,Seq #,Item Label,Item URL
Manage Quizzes,3,Grading quizzes,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010727
Manage Quizzes,4,Learning more about quizzes,https://cetloe.gsu.edu/tool/icollege-quizzes/
Notifications,1,Setting up course notifications,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010110
Notifications,2,Optimizing a course for Pulse,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010818
Question Library,1,Creating quizzes,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011916
Question Library,2,Learning more about quizzes,https://cetloe.gsu.edu/tool/icollege-quizzes/
Quick Eval,1,Using Quick Eval,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010773
Quick Eval,2,Grading assignments,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010095
Quick Eval,3,Grading quizzes,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010727
Quick Eval,4,Grading discussions,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011827
Quick Eval,5,Assessing Career-Ready Compentencies,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011997
Rubrics,1,Creating rubrics,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011943
Rubrics,2,Grading assignments,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010095
Rubrics,3,Grading discussions,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011827
Student Progress,1,Tracking student progress,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010299
Surveys,1,Setting up surveys,https://community.d2l.com/brightspace/kb/articles/3674-set-up-surveys
Surveys,2,Tracking survey results,https://community.d2l.com/brightspace/kb/articles/3468-track-survey-progress-and-results
Surveys,3,Using other survey tools,https://cetloe.gsu.edu/tool/qualtrics/
User Profile,1,Changing personal settings,https://community.d2l.com/brightspace/kb/articles/5464-change-your-personal-settings-in-brightspace
User Profile,2,Changing time zone settings,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011933
Webex,1,Configuring Webex,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010656
Webex,2,Enabling live captioning,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010806
Webex,3,Setting up Webex Teams,https://gsutech.service-now.com/sp?id=kb_article&sysparm_article=KB0010738
Webex,4,Learning more about Webex,https://cetloe.gsu.edu/tool/webex/
